Art,Collectible,Games,Metaverse,Other,Utility
0,0,511,0,0,0
0,0,2022,0,0,0
0,0,176,0,0,0
0,0,2,0,0,0
2,0,0,0,0,0
38,0,0,0,0,0
139,0,2,0,0,0
128,0,0,0,0,0
121,0,0,0,0,0
160,0,0,0,0,0
9,0,0,0,0,0
44,0,0,0,0,0
129,0,0,0,0,0
14,0,0,0,0,0
5,0,0,0,0,0
38,0,0,0,0,0
6,0,0,0,0,0
443,0,0,0,0,0
136,0,0,0,0,0
298,1,0,0,0,0
526,0,0,0,0,0
26,0,0,0,0,0
11,0,0,0,0,0
56,0,0,0,0,0
1,0,0,0,0,0
102,0,0,0,0,0
3,0,0,0,0,0
100,0,0,0,0,0
256,0,0,0,0,0
107,0,0,0,0,0
29,0,0,0,0,0
119,0,0,0,0,0
74,0,0,0,0,0
13,0,0,0,0,0
4,0,0,0,0,0
98,0,0,0,0,0
415,0,0,0,0,0
2,0,0,0,0,0
14,0,0,0,0,0
1,0,0,0,0,0
7,0,0,0,0,0
201,2,0,0,0,0
33,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
54,1,0,0,0,0
2,0,0,0,0,0
301,0,0,0,0,0
159,0,0,0,0,0
20,0,0,0,0,0
35,1,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
9,0,0,0,0,0
5,0,0,0,0,0
31,0,0,0,0,0
6,1,6,0,1,0
390,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
337,0,0,0,0,0
4,0,0,0,0,0
94,0,0,0,0,0
4,0,0,0,0,0
10,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
14,0,0,0,0,0
56,0,0,0,0,0
41,0,0,0,0,0
60,0,4,0,0,0
5,0,0,0,0,0
4,0,0,0,0,0
42,0,0,0,0,0
2,0,0,0,0,0
54,0,0,0,0,0
1,0,0,0,0,0
74,0,0,0,0,0
4,0,0,0,0,0
19,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
83,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
13,0,0,0,0,0
1,0,0,0,0,0
255,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
19,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
4,0,0,0,0,0
16,0,0,0,0,0
2,0,0,0,0,0
10,0,0,0,0,0
18,2,0,2,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
49,0,0,0,0,0
490,0,1,0,0,0
18,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
568,0,0,0,0,0
29,0,0,0,0,0
87,0,0,0,0,0
18,0,0,0,0,0
1,0,0,0,0,0
44,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
43,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
108,0,0,0,0,0
11,0,1,0,0,0
4,0,0,0,0,0
9,0,0,0,0,0
3,0,0,0,0,0
30,0,0,0,0,0
1,0,0,0,0,0
43,0,0,0,0,0
7,0,1,0,0,0
7,0,0,0,0,0
9,0,0,0,0,0
3,0,6,0,0,0
3,0,0,0,0,0
1,0,30,0,0,0
3,0,2,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
162,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
10,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,8,2,0,0
9,0,0,0,0,0
1,0,0,0,0,0
12,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
27,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
21,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
18,0,0,0,0,0
50,0,0,0,0,0
7,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
13,0,0,0,0,0
3,0,0,0,0,0
6,0,0,0,0,0
15,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
3,0,1,0,0,0
1,0,0,0,0,0
15,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
2,0,0,0,1,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
5,0,1,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
45,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,1,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
30,0,8,0,0,0
5,0,0,0,0,0
1,12,0,0,0,0
67,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
8,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
11,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
97,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
30,0,11,0,0,0
44,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,1,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
2,0,0,2,0,0
4,0,0,0,0,0
2,0,0,0,0,0
10,0,0,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
14,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
0,0,0,3,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,2,0,0
0,0,0,1,0,0
