Art,Collectible,Games,Metaverse,Other,Utility
0,0,1582,0,0,0
0,0,238,0,0,0
0,0,6,0,0,0
36,0,153,0,0,0
15,0,0,0,0,0
13,0,0,0,0,0
209,0,0,0,0,0
46,11,28,0,2,0
64,0,0,0,0,0
108,0,0,0,0,0
30,7,0,0,1,0
9,0,0,0,0,0
120,0,19,0,0,0
37,0,0,0,0,0
15,0,0,0,0,0
1,0,0,0,0,0
24,0,0,0,0,0
77,0,7,0,0,0
3,0,0,0,0,0
16,0,0,0,3,0
71,0,0,0,0,0
34,0,0,0,0,0
12,0,0,0,0,0
71,7,0,3,0,0
4,0,0,0,0,0
1,0,0,0,0,0
98,0,0,0,0,0
361,0,0,0,0,0
4,0,0,0,0,0
27,0,4,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
6,0,0,0,0,0
7,1,551,0,0,0
55,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
15,0,0,0,0,0
3,0,0,0,0,0
8,0,0,0,0,0
11,0,0,0,0,0
49,0,0,0,0,0
15,0,0,3,0,0
3,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
1,0,0,0,0,0
6,0,0,0,0,0
16,0,0,0,0,0
8,0,0,0,0,0
5,0,0,0,0,0
32,0,1,0,1,0
9,0,0,0,0,0
7,0,0,0,0,0
39,0,0,0,1,0
5,0,0,0,0,0
111,0,0,0,0,0
40,0,0,9,0,0
27,0,24,0,0,0
31,0,0,0,0,0
151,0,0,0,0,0
4,0,0,0,0,0
10,0,0,0,0,0
4,0,0,0,0,0
3,0,0,0,0,0
19,0,0,0,0,0
67,0,0,0,0,0
1,0,0,0,0,0
101,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
11,0,0,0,0,0
3,0,0,0,0,0
55,0,0,0,0,0
3,0,0,0,0,0
1,0,8,0,0,0
21,0,0,0,0,0
4,0,0,0,0,0
16,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
8,0,0,0,0,0
240,0,0,0,0,0
1,0,0,1,0,0
184,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
42,0,0,4,5,0
2,0,0,0,0,0
7,0,0,0,0,0
10,0,0,0,0,0
1,0,38,0,0,0
3,0,0,0,0,0
7,0,0,0,0,0
58,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
34,0,0,0,1,1
2,0,0,0,0,0
34,0,0,0,0,0
52,0,0,0,0,0
5,0,0,0,0,0
15,0,0,0,0,0
2,0,0,0,0,0
5,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
2,0,0,0,0,0
25,0,0,0,0,0
16,0,0,0,0,0
4,0,0,0,0,0
79,0,0,0,0,0
1,0,0,0,0,0
26,0,0,0,0,0
26,0,0,0,0,0
123,0,2,0,0,0
3,0,0,0,0,0
12,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
92,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
18,0,0,0,0,0
3,0,0,0,0,0
12,0,0,0,0,0
23,1,1,0,1,0
2,0,0,0,0,0
38,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
1,0,0,0,0,0
14,0,0,0,0,0
5,0,0,0,0,0
32,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
2,0,0,0,0,0
10,0,0,0,1,0
71,1,0,0,0,0
8,0,145,0,0,0
4,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
8,0,0,0,0,0
4,0,0,0,0,0
104,0,0,0,0,0
219,0,0,0,0,0
1,0,0,0,0,0
4,0,0,0,0,0
6,0,0,0,0,0
39,0,0,0,0,0
31,0,0,0,0,0
9,0,0,0,0,0
25,0,0,0,0,0
110,0,0,0,0,0
3,0,0,0,0,0
148,6,0,0,2,0
1,0,0,0,0,0
7,0,0,0,0,0
9,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
4,0,0,0,0,0
9,0,0,0,0,0
6,0,0,0,0,0
4,0,0,0,0,0
31,0,0,0,0,0
1,0,0,0,0,0
12,0,0,0,0,0
1,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
14,0,0,0,0,0
2,0,0,0,0,0
2,0,0,0,0,0
16,0,0,0,0,0
3,0,0,0,0,0
505,0,0,0,9,0
42,0,1,0,0,0
2,0,0,0,0,0
