Art,Collectible,Games,Metaverse,Other,Utility
0,0,80,0,0,0
0,0,8,0,0,0
0,0,8,0,0,0
3,0,2,0,0,0
0,0,4,0,0,0
0,0,77,0,0,0
7,0,95,0,0,0
0,0,6,0,0,0
7,3,9,0,0,0
0,0,2,0,0,0
0,0,10,0,0,0
0,2,3,0,0,0
0,0,2,0,0,0
4,0,7,0,2,0
0,0,14,0,0,0
5,1,64,0,0,0
4,0,4,0,7,0
0,0,2,0,0,0
0,0,5,0,0,0
86,0,94,0,0,0
0,0,121,0,0,0
0,0,16,0,0,0
1,0,3,0,0,0
0,0,2,0,0,0
0,0,8,0,0,0
0,0,3,4,0,0
16,0,6,0,12,0
0,0,3,0,0,0
0,0,4,0,0,0
0,0,5,0,0,0
0,0,12,0,0,0
6,0,20,0,0,0
0,0,6,0,0,0
0,0,5,0,0,0
0,0,6,0,0,0
34,8,4,0,34,0
0,0,72,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,6,27,1,0,0
0,0,8,0,0,0
0,0,34,0,0,0
0,0,7,0,0,0
2,0,11,0,0,0
0,0,2,0,0,0
27,44,18,4,7,0
0,0,5,0,0,0
6,3,8,0,0,0
0,0,25,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
1,0,119,0,0,0
5,2,7,0,18,0
0,0,19,0,0,0
0,0,7,0,0,0
2,0,22,0,3,0
15,4,12,0,61,0
7,2,11,0,0,0
0,0,6,0,0,0
0,0,18,0,0,0
0,0,4,0,0,0
39,3,4,0,29,2
0,0,6,0,7,0
0,0,7,0,0,0
0,9,4,0,0,0
19,9,84,0,25,0
0,0,6,0,0,0
8,0,2,0,1,0
0,0,21,0,0,0
41,1,3,0,6,0
0,0,84,0,0,0
4,0,6,0,0,0
0,0,2,0,0,0
0,0,24,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,5,0,0,0
0,1,3,0,0,0
0,0,2,0,0,0
0,0,61,0,2,0
1,0,18,0,0,0
0,0,2,0,0,0
26,10,69,0,24,0
30,0,15,0,2,0
0,0,7,0,0,0
1,0,14,0,0,0
0,0,5,0,0,0
0,0,4,0,0,0
0,0,10,0,0,0
0,0,2,0,0,0
0,0,8,0,0,0
0,0,4,0,0,0
0,0,4,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
0,0,13,0,0,0
0,0,9,0,1,0
0,0,6,0,0,0
0,0,2,0,0,0
0,0,3,0,0,0
0,0,10,0,0,0
0,0,2,0,0,0
0,0,7,0,0,0
0,0,7,0,0,0
0,0,2,0,0,0
12,0,23,0,10,0
0,0,2,0,0,0
0,0,5,0,0,0
0,0,3,0,0,0
0,0,2,0,0,0
1,0,10,0,1,0
0,0,35,0,0,0
0,0,2,0,0,0
1,0,3,0,0,0
0,0,7,0,0,0
0,0,4,0,0,0
0,0,31,0,4,0
0,0,3,0,0,0
1,5,10,0,0,0
0,0,2,0,0,0
0,0,6,0,0,0
9,0,2,0,3,0
27,1,13,0,3,0
0,0,2,0,0,0
0,2,6,0,0,0
0,0,8,0,0,0
0,0,4,0,0,0
1,2,3,0,0,0
0,0,2,0,1,0
0,0,9,0,0,0
0,0,2,0,0,0
1,0,13,0,0,0
0,0,2,0,0,0
3,0,19,0,0,0
0,0,2,0,0,0
0,0,2,0,0,0
6,11,24,1,26,0
0,0,4,0,0,0
0,0,8,1,0,0
0,0,3,0,0,0
0,0,5,0,0,0
0,0,42,0,0,0
1,0,2,0,0,0
0,0,2,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
59,0,0,0,0,0
1,0,0,0,5,0
1,0,0,0,0,0
13,0,0,0,0,0
11,0,0,0,0,0
16,1,1,0,0,0
2,0,0,0,0,0
6,0,3,0,0,1
1,0,0,0,0,0
2,0,0,0,0,0
1,0,0,0,0,0
1,0,0,0,0,0
10,0,0,0,0,0
3,0,0,0,0,0
1,0,0,0,0,0
